Note,Base URL,Created time,Date,Files,Related to Areas Database,Related to Projects Database,Related to Resources Database,Type,URL,Updated time
Types of AI Agents | IBM,ibm.com,"July 18, 2025 1:25 PM",07/18/2025 13:25 (GMT+8),,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),"Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21), [DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21)",,Research,https://www.ibm.com/think/topics/ai-agent-types?utm_medium=OSocial&utm_source=Youtube&utm_content=WAIWW&utm_id=YT-201-Five-Types-of-AI-Agents,"July 18, 2025 1:25 PM"
[ECL] Essential,,"July 20, 2025 7:59 PM",07/20/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 20, 2025 8:27 PM"
AI 智慧大工廠 TechOrange 科技報橘,,"July 23, 2025 9:41 AM",07/23/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,Notes,,"July 23, 2025 3:34 PM"
[ECL] Life Situation,,"July 23, 2025 7:01 PM",07/23/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 23, 2025 7:28 PM"
[ECL] Essential,,"July 24, 2025 8:01 PM",07/24/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 24, 2025 8:56 PM"
Microservice Meeting,,"July 25, 2025 9:19 AM",07/25/2025,,[CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21),,Azure (https://www.notion.so/Azure-217406f9700780989abce11890ff9fd0?pvs=21),Notes,,"July 25, 2025 12:05 PM"
[ECL] Life Situation,,"July 25, 2025 7:01 PM",07/25/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 25, 2025 7:24 PM"
2025 AAC 影響力論壇《變局下的新產業趨勢：生技 x 區塊鏈 x 人工智慧 未來行動策略》,,"July 26, 2025 2:22 PM",07/26/2025,2025AAC%E5%BD%B1%E9%9F%BF%E5%8A%9B%E8%AB%96%E5%A3%87_%E7%AD%86%E8%A8%98.pdf,"[CC] Career Development (https://www.notion.so/CC-Career-Development-1f1406f970078170ad46f3ca86d81d59?pvs=21), [CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21)",,,Notes,,"August 14, 2025 10:47 AM"
[ECL] Essential,,"July 27, 2025 8:00 PM",07/27/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 27, 2025 11:28 PM"
Vocabulary,,"July 28, 2025 9:36 PM",07/28/2025,,[CC] Career Development (https://www.notion.so/CC-Career-Development-1f1406f970078170ad46f3ca86d81d59?pvs=21),OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"September 23, 2025 11:25 PM"
[DMS] PGi 華鼎商業資訊 - AI IN ACTION 2025,youtube.com,"July 29, 2025 11:07 PM",07/29/2025,"PGi_AI_Agent_Solution_Intro-%E7%BE%85%E6%99%82%E5%AE%9C0928117446.pdf, 1._%E9%81%8B%E7%AE%97%E5%8A%9B_Dell.pdf, 2._%E6%B2%BB%E7%90%86%E5%8A%9B_Denodo.pdf, 3._%E4%BF%A1%E4%BB%BB%E5%8A%9B_Cohesity.pdf, 4._%E6%95%B8%E6%93%9A%E5%8A%9B_Tableau__Salesforce.pdf, 5._%E5%89%B5%E6%96%B0%E5%8A%9B_UiPath%E8%88%87_PGi__AI_Agent_%E8%A7%A3%E6%B1%BA%E6%96%B9%E6%A1%88.pdf, PGi%E6%A8%BA%E9%BC%8E_0711_%E7%95%B6%E5%A4%A9QA_%E5%BD%99%E6%95%B4_20250715.xlsx, %E8%A3%9C%E5%85%85%E8%B3%87%E6%96%99_%E5%A6%82%E4%BD%95%E9%81%B8%E6%93%87_Tableau_Cloud_or_Tableau_Server_20250711.pdf",,,,Documentation,https://www.youtube.com/playlist?list=PLFn0XlmCN-cxWHalfNjqoAPGTRd6xkrlw,"July 31, 2025 3:03 PM"
[DMS] PGi 產品介紹,,"July 30, 2025 1:39 PM",07/30/2025,,,,,Notes,,"July 31, 2025 3:03 PM"
[ECL] Essential,,"July 31, 2025 8:12 PM",07/31/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 31, 2025 8:47 PM"
Mastering SOLID Principles With a Robust Notification System in C#,medium.com,"July 31, 2025 10:40 PM",07/31/2025 22:40 (GMT+8),,[CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21),,,Research,https://medium.com/@choudharyr/mastering-solid-principles-with-a-robust-notification-system-in-c-10e717104958,"July 31, 2025 10:40 PM"
First topic - Visual Analysis,,"August 1, 2025 8:44 PM",08/01/2025,,,FineBi 台灣地震分析 (analysis competition)  (https://www.notion.so/FineBi-analysis-competition-228406f9700780098232de446c11fcdd?pvs=21),,Notes,,"August 11, 2025 10:11 PM"
資產零配件費用歸屬討論會議,,"August 4, 2025 1:16 PM",08/04/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Notes,,"August 11, 2025 5:22 PM"
AI 角度,,"August 6, 2025 1:54 PM",08/06/2025,,,[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21),,Notes,,"August 6, 2025 5:00 PM"
IoT API - Cursor Project Rules Guide,,"August 7, 2025 4:31 PM",08/07/2025,,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),"Azure (https://www.notion.so/Azure-217406f9700780989abce11890ff9fd0?pvs=21), Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21)",Documentation,,"August 7, 2025 4:34 PM"
[ECL] Life Situation,,"August 8, 2025 7:00 PM",08/08/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"August 9, 2025 11:38 AM"
[ECL] A2 → A1,,"August 9, 2025 1:01 PM",08/09/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"August 9, 2025 1:50 PM"
Monthly Account Summary,,"August 10, 2025 1:34 PM",08/10/2025,,[CC] Financial (https://www.notion.so/CC-Financial-1ff406f9700780959857f59c3bca3cb0?pvs=21),,,Notes,,"September 19, 2025 12:08 AM"
Meeting minutes,,"August 11, 2025 9:56 PM",08/11/2025,,,FineBi 台灣地震分析 (analysis competition)  (https://www.notion.so/FineBi-analysis-competition-228406f9700780098232de446c11fcdd?pvs=21),,Notes,,"August 11, 2025 10:04 PM"
Second topic - Exploratory Analysis,,"August 11, 2025 10:05 PM",08/11/2025,,[CC] Data Analysis (https://www.notion.so/CC-Data-Analysis-200406f97007801a8550d5bd0612c988?pvs=21),FineBi 台灣地震分析 (analysis competition)  (https://www.notion.so/FineBi-analysis-competition-228406f9700780098232de446c11fcdd?pvs=21),,Notes,,"August 12, 2025 1:01 PM"
Agenda APS Present (析數智匯股份有限公司),,"August 13, 2025 1:29 PM",08/13/2025,,[CC] Manufacturer (https://www.notion.so/CC-Manufacturer-20d406f9700780a1a265def77f22426d?pvs=21),,,Notes,,"August 13, 2025 3:31 PM"
[ECL] Life Situation,,"August 13, 2025 7:01 PM",08/13/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"August 14, 2025 9:36 AM"
[DMS] Features,,"August 14, 2025 11:05 AM",08/14/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,Notes,,"August 18, 2025 1:17 PM"
[ECL] Essential,,"August 14, 2025 8:01 PM",08/14/2025,,,,,Notes,,"August 14, 2025 8:49 PM"
AI × 運動科技應用共創工作坊,,"August 15, 2025 3:02 PM",08/15/2025,,,,,,,"August 15, 2025 4:11 PM"
[ECL] Essential - Are you an Early Riser?,,"August 17, 2025 8:00 PM",08/17/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"August 17, 2025 8:47 PM"
[DMS] Supplier - 進豐切割機,,"August 18, 2025 1:50 PM",08/18/2025,"RDBOX%E6%99%BA%E6%85%A7%E4%BA%91%E7%B3%BB%E7%BB%9F%E5%8A%9F%E8%83%BD%E5%BA%94%E7%94%A8%E8%AF%B4%E6%98%8EV1.3-%E7%BB%88%E7%AB%AF%E7%94%A8%E6%88%B7.pdf, RDBox%E8%BF%9C%E7%A8%8B%E9%80%9A%E4%BF%A1Modbus%E5%8D%8F%E8%AE%AE20241213.docx, web%E6%99%BA%E6%85%A7%E4%BA%91.docx",,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"August 28, 2025 11:49 AM"
如何開會？,,"August 18, 2025 4:01 PM",08/18/2025,%E7%AC%AC%E4%B8%89%E8%BB%B8OOO%E5%B0%88%E6%A1%88%E6%BA%9D%E9%80%9A%E7%94%A8%E4%B8%80%E9%A0%81%E5%BC%8F%E5%A0%B1%E5%91%8A_v2.1.docx,[CC] Career Development (https://www.notion.so/CC-Career-Development-1f1406f970078170ad46f3ca86d81d59?pvs=21),,,Notes,,"August 18, 2025 4:17 PM"
ETL Tools: Key Features and 10 Tools to Know in 2025 | Dagster Guides,dagster.io,"August 20, 2025 12:43 AM",08/20/2025 0:42 (GMT+8),,"[CC] Data Analysis (https://www.notion.so/CC-Data-Analysis-200406f97007801a8550d5bd0612c988?pvs=21), [CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21), [CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21)",,,Research,https://dagster.io/guides/etl-tools-key-features-and-10-tools-to-know-in-2025,"August 20, 2025 12:43 AM"
MLOps: Automation pipelines in machine learning,arthurkaza.hashnode.dev,"August 20, 2025 12:46 AM",08/20/2025 0:46 (GMT+8),,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),,,Research,https://arthurkaza.hashnode.dev/ml-ops-universe-to-pipeline-architecture,"August 22, 2025 5:59 PM"
[ECL] Life situation,,"August 20, 2025 7:00 PM",08/20/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"August 20, 2025 7:22 PM"
"[ECL] OEE Learning note ",,"August 21, 2025 8:01 PM",08/21/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"October 17, 2025 7:25 PM"
How to Present AI Project Proposal Professionally - Blog - Creative Presentations Ideas,blog.infodiagram.com,"August 22, 2025 1:12 PM",08/22/2025 11:44 (GMT+8),,,,,Research,https://blog.infodiagram.com/2024/08/how-present-ai-project-proposal-powerpoint.html#:~:text=Structure%20of%20AI%20project%20proposal,"August 22, 2025 1:12 PM"
LLMOps 的探索之路（序章） - Labs of Botsnova,labs.botsnova.com,"August 25, 2025 11:14 AM",08/25/2025 11:14 (GMT+8),,"[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21), [CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21)",[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21),,Research,https://labs.botsnova.com/2024/02/20/what-is-llmpos/,"August 25, 2025 11:39 AM"
[DMS Microservice] 技轉,,"August 26, 2025 1:10 PM",08/26/2025,,[CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21),Microservice (https://www.notion.so/Microservice-26e406f97007807b8944ed876f8145bd?pvs=21),,Notes,,"October 12, 2025 6:53 PM"
一口新飯 -【用AI發電 - PathUnfold AI赋能社群】,pathunfold.com,"August 28, 2025 12:54 PM",08/28/2025 12:53 (GMT+8),,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),,,Research,https://pathunfold.com/ray#courses,"August 28, 2025 12:54 PM"
My Profile,,"August 31, 2025 3:26 PM",08/31/2025,,[CC] Career Development (https://www.notion.so/CC-Career-Development-1f1406f970078170ad46f3ca86d81d59?pvs=21),,,Notes,,"August 31, 2025 3:37 PM"
Spaceship Titanic,kaggle.com,"September 2, 2025 11:11 PM",09/02/2025 23:11 (GMT+8),,[CC] Data Analysis (https://www.notion.so/CC-Data-Analysis-200406f97007801a8550d5bd0612c988?pvs=21),Spaceship Titanic (Kaggle competition) (https://www.notion.so/Spaceship-Titanic-Kaggle-competition-262406f97007804abd4dfc0a576b42e2?pvs=21),,Research,https://www.kaggle.com/competitions/spaceship-titanic/data,"September 2, 2025 11:11 PM"
A Practical Introduction to Data Science using the Spaceship Titanic Dataset from Kaggle - YouTube - Automata Learning Lab,youtube.com,"September 2, 2025 11:14 PM",09/02/2025 23:14 (GMT+8),,"[CC] Data Analysis (https://www.notion.so/CC-Data-Analysis-200406f97007801a8550d5bd0612c988?pvs=21), [CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21)",Spaceship Titanic (Kaggle competition) (https://www.notion.so/Spaceship-Titanic-Kaggle-competition-262406f97007804abd4dfc0a576b42e2?pvs=21),,Research,https://www.youtube.com/watch?v=HReBjpi9dCY,"September 2, 2025 11:14 PM"
[DMS Microservice] Meeting notes,,"September 5, 2025 2:17 PM",09/05/2025,,[CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21),Microservice (https://www.notion.so/Microservice-26e406f97007807b8944ed876f8145bd?pvs=21),,Notes,,"September 18, 2025 10:34 PM"
Gemini CLI,,"September 7, 2025 5:02 PM",09/07/2025,,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),,,Notes,,"September 7, 2025 5:02 PM"
Transaction Record Journal Design,,"September 28, 2025 4:02 PM",09/28/2025,,[CC] Financial (https://www.notion.so/CC-Financial-1ff406f9700780959857f59c3bca3cb0?pvs=21),,,Thoughts,,"September 30, 2025 3:33 PM"
[DMS] Supplier - 祥益,,"September 30, 2025 3:32 PM",09/30/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"September 30, 2025 3:33 PM"
JRB Indicator,fuly.ai,"September 30, 2025 10:38 PM",09/30/2025 22:37 (GMT+8),,,Trading Robots (MVP for Bitfinex) (https://www.notion.so/Trading-Robots-MVP-for-Bitfinex-27e406f970078081a7e8fa39ea04327e?pvs=21),,Research,https://fuly.ai/jrb,"September 30, 2025 10:38 PM"
"Leding Reference (Bitfinex) Update：@October 6, 2025 ",,"October 6, 2025 12:31 PM",10/06/2025,,,Trading Robots (MVP for Bitfinex) (https://www.notion.so/Trading-Robots-MVP-for-Bitfinex-27e406f970078081a7e8fa39ea04327e?pvs=21),,Notes,,"October 16, 2025 10:51 PM"
左側交易者/右側交易者是什麼？要選擇哪一種交易策略比較好？ - Mr.Market市場先生,rich01.com,"October 6, 2025 2:28 PM",10/06/2025 14:27 (GMT+8),,[CC] Financial (https://www.notion.so/CC-Financial-1ff406f9700780959857f59c3bca3cb0?pvs=21),,Stock (https://www.notion.so/Stock-22b406f97007800ca494e05a94daf7a1?pvs=21),Research,https://rich01.com/right-left-side-trader/,"October 6, 2025 2:28 PM"
http://Fuly.AI,,"October 12, 2025 5:20 PM",10/12/2025,,,Trading Robots (MVP for Bitfinex) (https://www.notion.so/Trading-Robots-MVP-for-Bitfinex-27e406f970078081a7e8fa39ea04327e?pvs=21),,Research,,"October 12, 2025 5:21 PM"
Data Flow,,"October 12, 2025 6:54 PM",10/12/2025,,,Microservice (https://www.notion.so/Microservice-26e406f97007807b8944ed876f8145bd?pvs=21),,Notes,,"October 12, 2025 6:55 PM"
[Bitfinex Robot] Strategy,,"October 12, 2025 7:10 PM",10/12/2025,,,Trading Robots (MVP for Bitfinex) (https://www.notion.so/Trading-Robots-MVP-for-Bitfinex-27e406f970078081a7e8fa39ea04327e?pvs=21),,Documentation,,"October 26, 2025 5:20 PM"
MVP Steps Reference,,"October 12, 2025 9:43 PM",10/12/2025,,,[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21),,,,"October 12, 2025 9:43 PM"
Meetings,,"October 16, 2025 3:42 PM",10/16/2025,,"[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21), [CC] Career Development (https://www.notion.so/CC-Career-Development-1f1406f970078170ad46f3ca86d81d59?pvs=21)",[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21),,Notes,,"October 31, 2025 5:16 PM"
DB Records,,"October 20, 2025 3:47 PM",10/20/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,Notes,,"October 20, 2025 3:49 PM"
Test,,"October 21, 2025 1:32 PM",10/21/2025,,,[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21),,Notes,,"November 4, 2025 3:28 PM"
Structure,,"October 22, 2025 6:22 PM",10/22/2025,,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21),,Documentation,,"October 22, 2025 6:36 PM"
Bitfinex Data Reference,,"October 26, 2025 3:45 PM",10/26/2025,,,Trading Robots (MVP for Bitfinex) (https://www.notion.so/Trading-Robots-MVP-for-Bitfinex-27e406f970078081a7e8fa39ea04327e?pvs=21),,Notes,,"October 31, 2025 5:00 PM"
Bitfinex API,,"October 26, 2025 4:11 PM",10/26/2025,,,Trading Robots (MVP for Bitfinex) (https://www.notion.so/Trading-Robots-MVP-for-Bitfinex-27e406f970078081a7e8fa39ea04327e?pvs=21),,Documentation,,"October 26, 2025 4:54 PM"
Semantic Layer,,"November 4, 2025 3:49 PM",11/04/2025,,,[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21),,Research,,"November 4, 2025 3:50 PM"
